index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
17;2800501011;Alcalá de Henares;m{avFnpnSbFe@LxCDt@@TJ|BJtBD|@GOGC_@FkD^S@D`@AVe@jCERKIIGGEYa@]a@ECOQe@o@GKCKUY{@y@a@_@oAkAw@y@a@_@II|BwATQLIPOPIDA\Qh@S`@Qd@Oz@YZKPE;((m{avFnpnSbFe@LxCDt@@TJ|BJtBD|@GOGC_@FkD^S@D`@AVe@jCERKIIGGEYa@]a@ECOQe@o@GKCKUY{@y@a@_@oAkAw@y@a@_@II|BwATQLIPOPIDA\Qh@S`@Qd@Oz@YZKPE));((m%7BavFnpnSbFe%40LxCDt%40%40TJ%7CBJtBD%7C%40GOGC_%40FkD%5ES%40D%60%40AVe%40jCERKIIGGEYa%40%5Da%40ECOQe%40o%40GKCKUY%7B%40y%40a%40_%40oAkAw%40y%40a%40_%40II%7CBwATQLIPOPIDA%5CQh%40S%60%40Qd%40Oz%40YZKPE))
18;2800501012;Alcalá de Henares;cvavFhcnSV?Bd@THd@Jb@HFAh@APJ\j@@f@EvA?RAh@KdBMhBKnAIp@K`AWlBCd@@h@A?G@GDADE}@KuBK}BAUEu@MyCcFd@X_APo@d@_BTs@d@_BDUDKN_@;((cvavFhcnSV?Bd@THd@Jb@HFAh@APJ\j@@f@EvA?RAh@KdBMhBKnAIp@K`AWlBCd@@h@A?G@GDADE}@KuBK}BAUEu@MyCcFd@X_APo@d@_BTs@d@_BDUDKN_@));((cvavFhcnSV%3FBd%40THd%40Jb%40HFAh%40APJ%5Cj%40%40f%40EvA%3FRAh%40KdBMhBKnAIp%40K%60AWlBCd%40%40h%40A%3FG%40GDADE%7D%40KuBK%7DBAUEu%40MyCcFd%40X_APo%40d%40_BTs%40d%40_BDUDKN_%40))
19;2800501013;Alcalá de Henares;_dbvFb~nS`@^z@x@TXBJFJd@n@NPDB\`@X`@FDHFJHENKTML_@TsBdA_Aj@s@b@w@p@Yc@_AuAWYFKDIjAoDFS`@gAh@aBJYDM;((_dbvFb~nS`@^z@x@TXBJFJd@n@NPDB\`@X`@FDHFJHENKTML_@TsBdA_Aj@s@b@w@p@Yc@_AuAWYFKDIjAoDFS`@gAh@aBJYDM));((_dbvFb~nS%60%40%5Ez%40x%40TXBJFJd%40n%40NPDB%5C%60%40X%60%40FDHFJHENKTML_%40TsBdA_Aj%40s%40b%40w%40p%40Yc%40_AuAWYFKDIjAoDFS%60%40gAh%40aBJYDM))
20;2800501014;Alcalá de Henares;aobvFr|nSFAFCvAaAdAw@HH`@^v@x@nAjAELKXi@`Ba@fAGRkAnDEHGJVX~@tA_@b@{@~@WXIHMFKIKAOJM_@EMWm@[aA_@iAW_A_@kAg@aBUu@Ow@AM~@o@LK\WXWTQLK;((aobvFr|nSFAFCvAaAdAw@HH`@^v@x@nAjAELKXi@`Ba@fAGRkAnDEHGJVX~@tA_@b@{@~@WXIHMFKIKAOJM_@EMWm@[aA_@iAW_A_@kAg@aBUu@Ow@AM~@o@LK\WXWTQLK));((aobvFr%7CnSFAFCvAaAdAw%40HH%60%40%5Ev%40x%40nAjAELKXi%40%60Ba%40fAGRkAnDEHGJVX~%40tA_%40b%40%7B%40~%40WXIHMFKIKAOJM_%40EMWm%40%5BaA_%40iAW_A_%40kAg%40aBUu%40Ow%40AM~%40o%40LK%5CWXWTQLK))
21;2800501015;Alcalá de Henares;ukbvFrjpSJODGFEJGXQn@]v@c@h@[Jf@Jp@VdCLrBF~@@^DxA@lABpABp@@RJv@QHMHKNW`@aApA]d@o@}@{@oAqBoC_AqAq@_ABE@E?G?GAGACAAFODQ@CBGXcARm@Na@BOL[Te@`@u@R]JQ;((ukbvFrjpSJODGFEJGXQn@]v@c@h@[Jf@Jp@VdCLrBF~@@^DxA@lABpABp@@RJv@QHMHKNW`@aApA]d@o@}@{@oAqBoC_AqAq@_ABE@E?G?GAGACAAFODQ@CBGXcARm@Na@BOL[Te@`@u@R]JQ));((ukbvFrjpSJODGFEJGXQn%40%5Dv%40c%40h%40%5BJf%40Jp%40VdCLrBF~%40%40%5EDxA%40lABpABp%40%40RJv%40QHMHKNW%60%40aApA%5Dd%40o%40%7D%40%7B%40oAqBoC_AqAq%40_ABE%40E%3FG%3FGAGACAAFODQ%40CBGXcARm%40Na%40BOL%5BTe%40%60%40u%40R%5DJQ))
22;2800501016;Alcalá de Henares;qqbvFvwpSp@~@~@pApBnCz@nAn@|@\e@`AqAVa@JOLIPIFPL\L^Rv@VfAFTHd@D^@\?`@?Z@Z@XaRxLeAiEIg@yB_KCOHS@CH_@Xu@n@eCd@aBl@mCFBF?BABA@C;((qqbvFvwpSp@~@~@pApBnCz@nAn@|@\e@`AqAVa@JOLIPIFPL\L^Rv@VfAFTHd@D^@\?`@?Z@Z@XaRxLeAiEIg@yB_KCOHS@CH_@Xu@n@eCd@aBl@mCFBF?BABA@C));((qqbvFvwpSp%40~%40~%40pApBnCz%40nAn%40%7C%40%5Ce%40%60AqAVa%40JOLIPIFPL%5CL%5ERv%40VfAFTHd%40D%5E%40%5C%3F%60%40%3FZ%40Z%40XaRxLeAiEIg%40yB_KCOHS%40CH_%40Xu%40n%40eCd%40aBl%40mCFBF%3FBABA%40C))
23;2800501017;Alcalá de Henares;grbvFfvpSDAD?B@B@@B@@@B@F?F?FADCDABC@C@G?GCm@lCe@`Bo@dCYt@I^ABIRG[aB}Gc@cB_@aB?Aa@cBz@_@JAX@d@Lb@JXJp@TZL\Pj@ZPHDD@G@GBEBCD?;((grbvFfvpSDAD?B@B@@B@@@B@F?F?FADCDABC@C@G?GCm@lCe@`Bo@dCYt@I^ABIRG[aB}Gc@cB_@aB?Aa@cBz@_@JAX@d@Lb@JXJp@TZL\Pj@ZPHDD@G@GBEBCD?));((grbvFfvpSDAD%3FB%40B%40%40B%40%40%40B%40F%3FF%3FFADCDABC%40C%40G%3FGCm%40lCe%40%60Bo%40dCYt%40I%5EABIRG%5BaB%7DGc%40cB_%40aB%3FAa%40cBz%40_%40JAX%40d%40Lb%40JXJp%40TZL%5CPj%40ZPHDD%40G%40GBEBCD%3F))
24;2800501018;Alcalá de Henares;czbvFzbpS`@nA`@pA^pADLVx@h@jBFJTv@p@~BE?CBCDAFAFEEQIk@[]Q[Mq@UYKc@Ke@MYAK@{@^Ki@Ok@wAiGSy@XOKi@b@Wf@zAhAu@ROzAgA;((czbvFzbpS`@nA`@pA^pADLVx@h@jBFJTv@p@~BE?CBCDAFAFEEQIk@[]Q[Mq@UYKc@Ke@MYAK@{@^Ki@Ok@wAiGSy@XOKi@b@Wf@zAhAu@ROzAgA));((czbvFzbpS%60%40nA%60%40pA%5EpADLVx%40h%40jBFJTv%40p%40~BE%3FCBCDAFAFEEQIk%40%5B%5DQ%5BMq%40UYKc%40Ke%40MYAK%40%7B%40%5EKi%40Ok%40wAiGSy%40XOKi%40b%40Wf%40zAhAu%40ROzAgA))
25;2800501019;Alcalá de Henares;obcvFxkoSFBLDLJDN|AfFo@^Z|@Vz@\dA\lAbAdD{AfASNiAt@g@{Ac@VJh@YNKa@Kc@ESc@gBCMwAgGmAkELI^UVSh@]v@a@x@i@Pc@;((obcvFxkoSFBLDLJDN|AfFo@^Z|@Vz@\dA\lAbAdD{AfASNiAt@g@{Ac@VJh@YNKa@Kc@ESc@gBCMwAgGmAkELI^UVSh@]v@a@x@i@Pc@));((obcvFxkoSFBLDLJDN%7CAfFo%40%5EZ%7C%40Vz%40%5CdA%5ClAbAdD%7BAfASNiAt%40g%40%7BAc%40VJh%40YNKa%40Kc%40ESc%40gBCMwAgGmAkELI%5EUVSh%40%5Dv%40a%40x%40i%40Pc%40))
26;2800501020;Alcalá de Henares;e`cvF`joSrA_AvB{ADXj@pB\dASR{@v@Kr@Ih@W^SRo@^[P}AgFEOMKMEGChAw@;((e`cvF`joSrA_AvB{ADXj@pB\dASR{@v@Kr@Ih@W^SRo@^[P}AgFEOMKMEGChAw@));((e%60cvF%60joSrA_AvB%7BADXj%40pB%5CdASR%7B%40v%40Kr%40Ih%40W%5ESRo%40%5E%5BP%7DAgFEOMKMEGChAw%40))
