index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
899;2807401011;Leganés;}|cuFnz~UVVHDl@h@KVj@^\Xf@h@JNEHINwAlB_CnCOd@s@i@_BgAW[`@sARc@~@kBv@sAr@kA;((}|cuFnz~UVVHDl@h@KVj@^\Xf@h@JNEHINwAlB_CnCOd@s@i@_BgAW[`@sARc@~@kBv@sAr@kA));((%7D%7CcuFnz~UVVHDl%40h%40KVj%40%5E%5CXf%40h%40JNEHINwAlB_CnCOd%40s%40i%40_BgAW%5B%60%40sARc%40~%40kBv%40sAr%40kA))
900;2807401012;Leganés;{vcuFba_VVYDITU`@m@\c@jAoAXa@FIDGHULNl@~@LJVd@n@rATd@AJ@Jc@Vg@\y@h@_An@YRWJi@RSHCLi@rAa@v@Wv@_@@]G]UaAi@UQs@VKONe@~BoCvAmBHODI;(({vcuFba_VVYDITU`@m@\c@jAoAXa@FIDGHULNl@~@LJVd@n@rATd@AJ@Jc@Vg@\y@h@_An@YRWJi@RSHCLi@rAa@v@Wv@_@@]G]UaAi@UQs@VKONe@~BoCvAmBHODI));((%7BvcuFba_VVYDITU%60%40m%40%5Cc%40jAoAXa%40FIDGHULNl%40~%40LJVd%40n%40rATd%40AJ%40Jc%40Vg%40%5Cy%40h%40_An%40YRWJi%40RSHCLi%40rAa%40v%40Wv%40_%40%40%5DG%5DUaAi%40UQs%40VKONe%40~BoCvAmBHODI))
901;2807401013;Leganés;ajcuFp`_V?PFr@L|B@L@XCl@G|BAd@}AiACb@?\Ab@wA_A]Q_@Yi@_@KGINu@e@h@sABMRIh@SVKXS~@o@x@i@f@]b@W;((ajcuFp`_V?PFr@L|B@L@XCl@G|BAd@}AiACb@?\Ab@wA_A]Q_@Yi@_@KGINu@e@h@sABMRIh@SVKXS~@o@x@i@f@]b@W));((ajcuFp%60_V%3FPFr%40L%7CB%40L%40XCl%40G%7CBAd%40%7DAiACb%40%3F%5CAb%40wA_A%5DQ_%40Yi%40_%40KGINu%40e%40h%40sABMRIh%40SVKXS~%40o%40x%40i%40f%40%5Db%40W))
902;2807401014;Leganés;eucuF`j_Vt@d@HOJFh@^^X\PvA~@@c@?]Bc@|AhAAZAd@@VXlCRbBRtAL`BiAcAkDkC_CkByH{Fo@i@r@WTP`Ah@\T\F^AVw@`@w@;((eucuF`j_Vt@d@HOJFh@^^X\PvA~@@c@?]Bc@|AhAAZAd@@VXlCRbBRtAL`BiAcAkDkC_CkByH{Fo@i@r@WTP`Ah@\T\F^AVw@`@w@));((eucuF%60j_Vt%40d%40HOJFh%40%5E%5EX%5CPvA~%40%40c%40%3F%5DBc%40%7CAhAAZAd%40%40VXlCRbBRtAL%60BiAcAkDkC_CkByH%7BFo%40i%40r%40WTP%60Ah%40%5CT%5CF%5EAVw%40%60%40w%40))
903;2807401015;Leganés;uicuFnn_V@e@F}BBm@AYHBJJfAxAxApBv@fAgAhBEHIDkCt@YmCAW@e@@[;((uicuFnn_V@e@F}BBm@AYHBJJfAxAxApBv@fAgAhBEHIDkCt@YmCAW@e@@[));((uicuFnn_V%40e%40F%7DBBm%40AYHBJJfAxAxApBv%40fAgAhBEHIDkCt%40YmCAW%40e%40%40%5B))
904;2807401016;Leganés;m{buFbp_VPH?FBNNPXZNNIVIRMZCCSUa@g@MOu@hA??aAsAy@gAw@gAyAqBgAyAKKICAMM}BGs@HKJILALBP?f@p@jB`CbBtBJPn@x@Z`@DRNTX\NR;((m{buFbp_VPH?FBNNPXZNNIVIRMZCCSUa@g@MOu@hA??aAsAy@gAw@gAyAqBgAyAKKICAMM}BGs@HKJILALBP?f@p@jB`CbBtBJPn@x@Z`@DRNTX\NR));((m%7BbuFbp_VPH%3FFBNNPXZNNIVIRMZCCSUa%40g%40MOu%40hA%3F%3FaAsAy%40gAw%40gAyAqBgAyAKKICAMM%7DBGs%40HKJILALBP%3Ff%40p%40jB%60CbBtBJPn%40x%40Z%60%40DRNTX%5CNR))
905;2807401017;Leganés;}}buFbu_V??kAjBY`@q@dAWXKH]L_@BYCOOKOGWSuAScBjCu@HEDIfAiBx@fA`ArA;((}}buFbu_V??kAjBY`@q@dAWXKH]L_@BYCOOKOGWSuAScBjCu@HEDIfAiBx@fA`ArA));((%7D%7DbuFbu_V%3F%3FkAjBY%60%40q%40dAWXKH%5DL_%40BYCOOKOGWSuAScBjCu%40HEDIfAiBx%40fA%60ArA))
906;2807401018;Leganés;aabuFxy|U??^f@pBdCfBzBhBbCbBgA|KwFuAoFuCcLkBoHiBoEyB_EyBgCoAsAo@]@G~AuEbByEPg@Zm@\k@rHcJNW?@bD|CtEpEtGnG??HF??DDRRTT??d@d@lKzJrArA??\ZrD~C??~IzH??TR??HFBB^ZrAjAbRbRlPxRfApAJLr@SfDgA??lKzAH@rP~BTB`Db@LbEEl@Ip@Gr@Eb@CLG^??CNKf@ObAKr@e@rCGb@ALANANC`@?ZA^@n@@d@J|@h@`B??J`@Pv@FXR~@@HFp@NhB?BBV@N@H@FLh@BD@JDZ\`B@DDN@@@D?DBd@?^@J?J@H@FBFBDBBDDHFHFHDDBBB@BBDBD@D??@FDRLl@BJBH?DBHBFJNNVDLJb@BN@D@FDHHJX\f@d@i@pFyIlQqE`EQdB[dDd@JD@LDD@BB@BBBBF?@@D?F?FANAH?BQ|@On@?@ABET?@CVEf@Gl@Ej@Ep@CX?TCz@?n@?PAd@ALELENELQ\OXS`@GLAFAFAD?B?@?B?BDV?BBp@@FD`@@D?TADAV?FEb@Ix@AJAj@Cb@?f@CXAHAHQl@I\ELALCNALAn@Ad@?f@?X@^B^J|BFz@Fl@@PK^W~@UdAg@xBwAxGADk`@mRAAe\}OkHmD{BqAcA_@k]mPs[kO}JqHoQ_NgA}@_@c@CGO[YW~@cCb@uAaAuA}AwBCCk@y@jAkBt@iALN`@f@RTBBL[HSHW\LhAb@l@PZw@t@iBXw@Lq@LcBFyAFgAHsADw@Bi@Dq@JcBFw@Da@H[Du@@c@E]?G`AmBvCyGTe@BIHGRU@G?ECEcDaBKGGI}B}DNQTy@l@{BHc@@YJwCFsABm@AQVy@}@iAEEsByBk@u@??Ws@Kq@Sy@]c@hBwFb@ATKTMn@b@|@n@d@\VP~@p@|@n@|@n@|@p@?A;((aabuFxy|U??^f@pBdCfBzBhBbCbBgA|KwFuAoFuCcLkBoHiBoEyB_EyBgCoAsAo@]@G~AuEbByEPg@Zm@\k@rHcJNW?@bD|CtEpEtGnG??HF??DDRRTT??d@d@lKzJrArA??\ZrD~C??~IzH??TR??HFBB^ZrAjAbRbRlPxRfApAJLr@SfDgA??lKzAH@rP~BTB`Db@LbEEl@Ip@Gr@Eb@CLG^??CNKf@ObAKr@e@rCGb@ALANANC`@?ZA^@n@@d@J|@h@`B??J`@Pv@FXR~@@HFp@NhB?BBV@N@H@FLh@BD@JDZ\`B@DDN@@@D?DBd@?^@J?J@H@FBFBDBBDDHFHFHDDBBB@BBDBD@D??@FDRLl@BJBH?DBHBFJNNVDLJb@BN@D@FDHHJX\f@d@i@pFyIlQqE`EQdB[dDd@JD@LDD@BB@BBBBF?@@D?F?FANAH?BQ|@On@?@ABET?@CVEf@Gl@Ej@Ep@CX?TCz@?n@?PAd@ALELENELQ\OXS`@GLAFAFAD?B?@?B?BDV?BBp@@FD`@@D?TADAV?FEb@Ix@AJAj@Cb@?f@CXAHAHQl@I\ELALCNALAn@Ad@?f@?X@^B^J|BFz@Fl@@PK^W~@UdAg@xBwAxGADk`@mRAAe\}OkHmD{BqAcA_@k]mPs[kO}JqHoQ_NgA}@_@c@CGO[YW~@cCb@uAaAuA}AwBCCk@y@jAkBt@iALN`@f@RTBBL[HSHW\LhAb@l@PZw@t@iBXw@Lq@LcBFyAFgAHsADw@Bi@Dq@JcBFw@Da@H[Du@@c@E]?G`AmBvCyGTe@BIHGRU@G?ECEcDaBKGGI}B}DNQTy@l@{BHc@@YJwCFsABm@AQVy@}@iAEEsByBk@u@??Ws@Kq@Sy@]c@hBwFb@ATKTMn@b@|@n@d@\VP~@p@|@n@|@n@|@p@?A));((aabuFxy%7CU%3F%3F%5Ef%40pBdCfBzBhBbCbBgA%7CKwFuAoFuCcLkBoHiBoEyB_EyBgCoAsAo%40%5D%40G~AuEbByEPg%40Zm%40%5Ck%40rHcJNW%3F%40bD%7CCtEpEtGnG%3F%3FHF%3F%3FDDRRTT%3F%3Fd%40d%40lKzJrArA%3F%3F%5CZrD~C%3F%3F~IzH%3F%3FTR%3F%3FHFBB%5EZrAjAbRbRlPxRfApAJLr%40SfDgA%3F%3FlKzAH%40rP~BTB%60Db%40LbEEl%40Ip%40Gr%40Eb%40CLG%5E%3F%3FCNKf%40ObAKr%40e%40rCGb%40ALANANC%60%40%3FZA%5E%40n%40%40d%40J%7C%40h%40%60B%3F%3FJ%60%40Pv%40FXR~%40%40HFp%40NhB%3FBBV%40N%40H%40FLh%40BD%40JDZ%5C%60B%40DDN%40%40%40D%3FDBd%40%3F%5E%40J%3FJ%40H%40FBFBDBBDDHFHFHDDBBB%40BBDBD%40D%3F%3F%40FDRLl%40BJBH%3FDBHBFJNNVDLJb%40BN%40D%40FDHHJX%5Cf%40d%40i%40pFyIlQqE%60EQdB%5BdDd%40JD%40LDD%40BB%40BBBBF%3F%40%40D%3FF%3FFANAH%3FBQ%7C%40On%40%3F%40ABET%3F%40CVEf%40Gl%40Ej%40Ep%40CX%3FTCz%40%3Fn%40%3FPAd%40ALELENELQ%5COXS%60%40GLAFAFAD%3FB%3F%40%3FB%3FBDV%3FBBp%40%40FD%60%40%40D%3FTADAV%3FFEb%40Ix%40AJAj%40Cb%40%3Ff%40CXAHAHQl%40I%5CELALCNALAn%40Ad%40%3Ff%40%3FX%40%5EB%5EJ%7CBFz%40Fl%40%40PK%5EW~%40UdAg%40xBwAxGADk%60%40mRAAe%5C%7DOkHmD%7BBqAcA_%40k%5DmPs%5BkO%7DJqHoQ_NgA%7D%40_%40c%40CGO%5BYW~%40cCb%40uAaAuA%7DAwBCCk%40y%40jAkBt%40iALN%60%40f%40RTBBL%5BHSHW%5CLhAb%40l%40PZw%40t%40iBXw%40Lq%40LcBFyAFgAHsADw%40Bi%40Dq%40JcBFw%40Da%40H%5BDu%40%40c%40E%5D%3FG%60AmBvCyGTe%40BIHGRU%40G%3FECEcDaBKGGI%7DB%7DDNQTy%40l%40%7BBHc%40%40YJwCFsABm%40AQVy%40%7D%40iAEEsByBk%40u%40%3F%3FWs%40Kq%40Sy%40%5Dc%40hBwFb%40ATKTMn%40b%40%7C%40n%40d%40%5CVP~%40p%40%7C%40n%40%7C%40n%40%7C%40p%40%3FA))
907;2807401019;Leganés;i`cuFnx_Vj@x@BB|AvB`AtAc@tA_AbCAA{@m@g@c@mEuDUWMaBFVJNNNXB^C\MJIVYp@eAXa@;((i`cuFnx_Vj@x@BB|AvB`AtAc@tA_AbCAA{@m@g@c@mEuDUWMaBFVJNNNXB^C\MJIVYp@eAXa@));((i%60cuFnx_Vj%40x%40BB%7CAvB%60AtAc%40tA_AbCAA%7B%40m%40g%40c%40mEuDUWMaBFVJNNNXB%5EC%5CMJIVYp%40eAXa%40))
908;2807401020;Leganés;}|buFtg`VXVuAvDo@~@q@r@}@l@k@^y@HcAf@o@Xo@VkAf@wB`AaBr@K@EAGGIZw@F]cBOuCIiGQkI?C??wAGCAwDAeAMo@?UCAcAA_AEeBIqCE_AoAf@LYZs@Xq@`@eATi@Na@Po@j@gBNa@VZ~AfAr@h@JNn@h@xHzF~BjBjDjChAbATVlEtDf@b@z@l@@@;((}|buFtg`VXVuAvDo@~@q@r@}@l@k@^y@HcAf@o@Xo@VkAf@wB`AaBr@K@EAGGIZw@F]cBOuCIiGQkI?C??wAGCAwDAeAMo@?UCAcAA_AEeBIqCE_AoAf@LYZs@Xq@`@eATi@Na@Po@j@gBNa@VZ~AfAr@h@JNn@h@xHzF~BjBjDjChAbATVlEtDf@b@z@l@@@));((%7D%7CbuFtg%60VXVuAvDo%40~%40q%40r%40%7D%40l%40k%40%5Ey%40HcAf%40o%40Xo%40VkAf%40wB%60AaBr%40K%40EAGGIZw%40F%5DcBOuCIiGQkI%3FC%3F%3FwAGCAwDAeAMo%40%3FUCAcAA_AEeBIqCE_AoAf%40LYZs%40Xq%40%60%40eATi%40Na%40Po%40j%40gBNa%40VZ~AfAr%40h%40JNn%40h%40xHzF~BjBjDjChAbATVlEtDf%40b%40z%40l%40%40%40))
