index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
625;2805802005;Fuenlabrada;_a|tFj}bVHFv@FPgB~JlB|A_CNWBEHNjAfCi@nD[|BCTENEVOKcFwAAAIAe@GKDSDsGy@OA@S`@gE;((_a|tFj}bVHFv@FPgB~JlB|A_CNWBEHNjAfCi@nD[|BCTENEVOKcFwAAAIAe@GKDSDsGy@OA@S`@gE));((_a%7CtFj%7DbVHFv%40FPgB~JlB%7CA_CNWBEHNjAfCi%40nD%5B%7CBCTENEVOKcFwAAAIAe%40GKDSDsGy%40OA%40S%60%40gE))
626;2805802006;Fuenlabrada;__|tFxobV^A~@?PDz@TVHt@NLD\Hl@Tx@\PHh@X@?RHL?PCFn@Hn@BPQTCDOV}A~B_KmBQfBw@GIG?ABg@Z}DFiAFy@NeA;((__|tFxobV^A~@?PDz@TVHt@NLD\Hl@Tx@\PHh@X@?RHL?PCFn@Hn@BPQTCDOV}A~B_KmBQfBw@GIG?ABg@Z}DFiAFy@NeA));((__%7CtFxobV%5EA~%40%3FPDz%40TVHt%40NLD%5CHl%40Tx%40%5CPHh%40X%40%3FRHL%3FPCFn%40Hn%40BPQTCDOV%7DA~B_KmBQfBw%40GIG%3FABg%40Z%7DDFiAFy%40NeA))
627;2805802007;Fuenlabrada;yn{tFficVVNx@~@JJz@`APTFD@@JDxAfBdApAILTbBOFOBUBOBK?K?Qd@QOMGcA]_Bi@yBi@MCCAMEFa@@OT_BLaA\kALwADY;((yn{tFficVVNx@~@JJz@`APTFD@@JDxAfBdApAILTbBOFOBUBOBK?K?Qd@QOMGcA]_Bi@yBi@MCCAMEFa@@OT_BLaA\kALwADY));((yn%7BtFficVVNx%40~%40JJz%40%60APTFD%40%40JDxAfBdApAILTbBOFOBUBOBK%3FK%3FQd%40QOMGcA%5D_Bi%40yBi%40MCCAMEFa%40%40OT_BLaA%5CkALwADY))
628;2805802008;Fuenlabrada;cl{tFz}bV`ArB^x@NVDFNb@DF\r@Zp@HLqBxDAAGEQU{@aAKKy@_AWODWDOBUZ}Bh@oD;((cl{tFz}bV`ArB^x@NVDFNb@DF\r@Zp@HLqBxDAAGEQU{@aAKKy@_AWODWDOBUZ}Bh@oD));((cl%7BtFz%7DbV%60ArB%5Ex%40NVDFNb%40DF%5Cr%40Zp%40HLqBxDAAGEQU%7B%40aAKKy%40_AWODWDOBUZ%7DBh%40oD))
629;2805802009;Fuenlabrada;gn{tFlxbVBEL]DG@IXq@BIhAkEBUJ[l@qBDM@EBGDKHSP_@HSJWJQL[d@cAL_@~@r@t@zAJh@F^Db@BNm@`@_@jBI`@Ib@I`@GXEXCHG\[zA_@dBS~@Kd@gAnFEGOW_@y@aAsBkAgCIOPU;((gn{tFlxbVBEL]DG@IXq@BIhAkEBUJ[l@qBDM@EBGDKHSP_@HSJWJQL[d@cAL_@~@r@t@zAJh@F^Db@BNm@`@_@jBI`@Ib@I`@GXEXCHG\[zA_@dBS~@Kd@gAnFEGOW_@y@aAsBkAgCIOPU));((gn%7BtFlxbVBEL%5DDG%40IXq%40BIhAkEBUJ%5Bl%40qBDM%40EBGDKHSP_%40HSJWJQL%5Bd%40cAL_%40~%40r%40t%40zAJh%40F%5EDb%40BNm%40%60%40_%40jBI%60%40Ib%40I%60%40GXEXCHG%5C%5BzA_%40dBS~%40Kd%40gAnFEGOW_%40y%40aAsBkAgCIOPU))
630;2805802010;Fuenlabrada;we{tFr{bV`Bv@TLh@Tt@d@pAt@Mx@QvAU`BCJi@zBCZAAUQMGg@Ya@Yc@][YKQIM[q@]s@EGOc@fAoFJe@;((we{tFr{bV`Bv@TLh@Tt@d@pAt@Mx@QvAU`BCJi@zBCZAAUQMGg@Ya@Yc@][YKQIM[q@]s@EGOc@fAoFJe@));((we%7BtFr%7BbV%60Bv%40TLh%40Tt%40d%40pAt%40Mx%40QvAU%60BCJi%40zBCZAAUQMGg%40Ya%40Yc%40%5D%5BYKQIM%5Bq%40%5Ds%40EGOc%40fAoFJe%40))
631;2805802011;Fuenlabrada;a_{tF~hbVJ`@LVNV\Xh@^bBpASfAO`ASxAQrAId@[zBM~@CRqAu@u@e@i@UUMaBw@R_A^eBZ{AF]BIDYFYHa@Hc@Ha@^kBl@a@;((a_{tF~hbVJ`@LVNV\Xh@^bBpASfAO`ASxAQrAId@[zBM~@CRqAu@u@e@i@UUMaBw@R_A^eBZ{AF]BIDYFYHa@Hc@Ha@^kBl@a@));((a_%7BtF~hbVJ%60%40LVNV%5CXh%40%5EbBpASfAO%60ASxAQrAId%40%5BzBM~%40CRqAu%40u%40e%40i%40UUMaBw%40R_A%5EeBZ%7BAF%5DBIDYFYHa%40Hc%40Ha%40%5EkBl%40a%40))
632;2805802012;Fuenlabrada;m|ztFjacVBSL_AZ{BHe@PsARyANaARgAjBd@RFz@RZHrBf@F@Gf@EXCHCRCNAHCRCLAFABCTAFGb@G\CJKj@Kj@On@IZIT?@K\KPCPEVE`@Ed@IbAEh@Ed@ABCXERCNER_@\GJONc@XC@MFe@VWNC@YP??GDGBUN]w@[q@Wk@OUSSB[h@{BBKTaBPwALy@;((m|ztFjacVBSL_AZ{BHe@PsARyANaARgAjBd@RFz@RZHrBf@F@Gf@EXCHCRCNAHCRCLAFABCTAFGb@G\CJKj@Kj@On@IZIT?@K\KPCPEVE`@Ed@IbAEh@Ed@ABCXERCNER_@\GJONc@XC@MFe@VWNC@YP??GDGBUN]w@[q@Wk@OUSSB[h@{BBKTaBPwALy@));((m%7CztFjacVBSL_AZ%7BBHe%40PsARyANaARgAjBd%40RFz%40RZHrBf%40F%40Gf%40EXCHCRCNAHCRCLAFABCTAFGb%40G%5CCJKj%40Kj%40On%40IZIT%3F%40K%5CKPCPEVE%60%40Ed%40IbAEh%40Ed%40ABCXERCNER_%40%5CGJONc%40XC%40MFe%40VWNC%40YP%3F%3FGDGBUN%5Dw%40%5Bq%40Wk%40OUSSB%5Bh%40%7BBBKTaBPwALy%40))
633;2805802013;Fuenlabrada;gv|tF~xbVBBBD^\JJhAz@~@r@\Vx@f@\RTLf@LxAXr@Nr@VnAPi@hFEn@Ip@eASsB[_Dk@KCsB[wCg@GAQEE?GCIE?GBM?EBWBY@MFq@@SJ{@BOHw@RuAN{ABe@;((gv|tF~xbVBBBD^\JJhAz@~@r@\Vx@f@\RTLf@LxAXr@Nr@VnAPi@hFEn@Ip@eASsB[_Dk@KCsB[wCg@GAQEE?GCIE?GBM?EBWBY@MFq@@SJ{@BOHw@RuAN{ABe@));((gv%7CtF~xbVBBBD%5E%5CJJhAz%40~%40r%40%5CVx%40f%40%5CRTLf%40LxAXr%40Nr%40VnAPi%40hFEn%40Ip%40eASsB%5B_Dk%40KCsB%5BwCg%40GAQEE%3FGCIE%3FGBM%3FEBWBY%40MFq%40%40SJ%7B%40BOHw%40RuAN%7BABe%40))
634;2805802014;Fuenlabrada;_t|tFlebVFBDDJFDB~@h@DDt@`@FBn@\TJJDd@TLFRF^Jr@R`@Lf@Rd@Pb@P\Lf@HXDXDOdAGx@GhA[|DCf@?@iDmBa@Ya@Ya@Y[UOK}@m@c@YeEwCECMICCECBw@TuDF{@;((_t|tFlebVFBDDJFDB~@h@DDt@`@FBn@\TJJDd@TLFRF^Jr@R`@Lf@Rd@Pb@P\Lf@HXDXDOdAGx@GhA[|DCf@?@iDmBa@Ya@Ya@Y[UOK}@m@c@YeEwCECMICCECBw@TuDF{@));((_t%7CtFlebVFBDDJFDB~%40h%40DDt%40%60%40FBn%40%5CTJJDd%40TLFRF%5EJr%40R%60%40Lf%40Rd%40Pb%40P%5CLf%40HXDXDOdAGx%40GhA%5B%7CDCf%40%3F%40iDmBa%40Ya%40Ya%40Y%5BUOK%7D%40m%40c%40YeEwCECMICCECBw%40TuDF%7B%40))
