index;CUSEC;NMUN;POLYLINE;POLYLINEPREURL;URLENCODED
3985;2813401011;San Sebastián de los Reyes;alnvFrmcUBCRQt@c@??XUp@Kl@iAz@z@pBrB_@Ro@ZcAf@OHOd@QZKZIVXP|@l@RNj@^b@Xb@V[hA_@r@yAw@}@c@aA_@A?^yARo@CMACAG?AKWg@YmAy@YQUQNc@FMLCF?IY;((alnvFrmcUBCRQt@c@??XUp@Kl@iAz@z@pBrB_@Ro@ZcAf@OHOd@QZKZIVXP|@l@RNj@^b@Xb@V[hA_@r@yAw@}@c@aA_@A?^yARo@CMACAG?AKWg@YmAy@YQUQNc@FMLCF?IY));((alnvFrmcUBCRQt%40c%40%3F%3FXUp%40Kl%40iAz%40z%40pBrB_%40Ro%40ZcAf%40OHOd%40QZKZIVXP%7C%40l%40RNj%40%5Eb%40Xb%40V%5BhA_%40r%40yAw%40%7D%40c%40aA_%40A%3F%5EyARo%40CMACAG%3FAKWg%40YmAy%40YQUQNc%40FMLCF%3FIY))
3986;2813401012;San Sebastián de los Reyes;k`nvF|mcU~AjBLN^`@r@t@LJ|@~@`@`@????KTADGPCJQt@ABAD@EIV}@vFWCyBWoAQsAUm@MFIhBqB^s@ZiAc@Wc@Yk@_@SO}@m@YQHWJ[P[Ne@NIbAg@n@[^S;((k`nvF|mcU~AjBLN^`@r@t@LJ|@~@`@`@????KTADGPCJQt@ABAD@EIV}@vFWCyBWoAQsAUm@MFIhBqB^s@ZiAc@Wc@Yk@_@SO}@m@YQHWJ[P[Ne@NIbAg@n@[^S));((k%60nvF%7CmcU~AjBLN%5E%60%40r%40t%40LJ%7C%40~%40%60%40%60%40%3F%3F%3F%3FKTADGPCJQt%40ABAD%40EIV%7D%40vFWCyBWoAQsAUm%40MFIhBqB%5Es%40ZiAc%40Wc%40Yk%40_%40SO%7D%40m%40YQHWJ%5BP%5BNe%40NIbAg%40n%40%5B%5ES))
3987;2813401014;San Sebastián de los Reyes;symvFftcUGTMKs@u@_@a@MOc@cGIwAl@IQaCKcBp@UPxBD\DZ|@MHl@Hh@NdAp@bBbAnA{@lAUb@_AtA;((symvFftcUGTMKs@u@_@a@MOc@cGIwAl@IQaCKcBp@UPxBD\DZ|@MHl@Hh@NdAp@bBbAnA{@lAUb@_AtA));((symvFftcUGTMKs%40u%40_%40a%40MOc%40cGIwAl%40IQaCKcBp%40UPxBD%5CDZ%7C%40MHl%40Hh%40NdAp%40bBbAnA%7B%40lAUb%40_AtA))
3988;2813401015;San Sebastián de los Reyes;usmvFjacUvC~B|IdH????y@hBADEFKAeEc@IAc@CMA??S@a@FA????@m@NMDGDC@A??@A?MJA?GDCBA@MJABA@CDA@EBDEP[NO@ATMXQNIz@KR?OcA?IAQGQIQQWIMq@q@yAfCcAoAq@cBOeAIi@Im@KqACw@o@e@OI[Uo@i@}@u@SMWOv@gAnElDbEdD;((usmvFjacUvC~B|IdH????y@hBADEFKAeEc@IAc@CMA??S@a@FA????@m@NMDGDC@A??@A?MJA?GDCBA@MJABA@CDA@EBDEP[NO@ATMXQNIz@KR?OcA?IAQGQIQQWIMq@q@yAfCcAoAq@cBOeAIi@Im@KqACw@o@e@OI[Uo@i@}@u@SMWOv@gAnElDbEdD));((usmvFjacUvC~B%7CIdH%3F%3F%3F%3Fy%40hBADEFKAeEc%40IAc%40CMA%3F%3FS%40a%40FA%3F%3F%3F%3F%40m%40NMDGDC%40A%3F%3F%40A%3FMJA%3FGDCBA%40MJABA%40CDA%40EBDEP%5BNO%40ATMXQNIz%40KR%3FOcA%3FIAQGQIQQWIMq%40q%40yAfCcAoAq%40cBOeAIi%40Im%40KqACw%40o%40e%40OI%5BUo%40i%40%7D%40u%40SMWOv%40gAnElDbEdD))
3989;2813401016;San Sebastián de los Reyes;gomvFrmcU@P?HNbAS?{@JOHYPULA@ONQZED??CBCFEHA???A@ADABS`@EDGP??Sd@??????a@a@}@_AFU~@uATc@z@mAxAgCp@p@HLPVHPFP;((gomvFrmcU@P?HNbAS?{@JOHYPULA@ONQZED??CBCFEHA???A@ADABS`@EDGP??Sd@??????a@a@}@_AFU~@uATc@z@mAxAgCp@p@HLPVHPFP));((gomvFrmcU%40P%3FHNbAS%3F%7B%40JOHYPULA%40ONQZED%3F%3FCBCFEHA%3F%3F%3FA%40ADABS%60%40EDGP%3F%3FSd%40%3F%3F%3F%3F%3F%3Fa%40a%40%7D%40_AFU~%40uATc%40z%40mAxAgCp%40p%40HLPVHPFP))
3990;2813401017;San Sebastián de los Reyes;i{mvF~cdUVB|@wFHWADADKn@EPg@dDKh@EX????A????????@Y`BCTIZCLO|@K\ABc@?cAQwA_@qAWk@MiB_@s@QCYPS~@_ABEBCx@}@z@}@l@LrATnAPxBV;((i{mvF~cdUVB|@wFHWADADKn@EPg@dDKh@EX????A????????@Y`BCTIZCLO|@K\ABc@?cAQwA_@qAWk@MiB_@s@QCYPS~@_ABEBCx@}@z@}@l@LrATnAPxBV));((i%7BmvF~cdUVB%7C%40wFHWADADKn%40EPg%40dDKh%40EX%3F%3F%3F%3FA%3F%3F%3F%3F%3F%3F%3F%3F%40Y%60BCTIZCLO%7C%40K%5CABc%40%3FcAQwA_%40qAWk%40MiB_%40s%40QCYPS~%40_ABEBCx%40%7D%40z%40%7D%40l%40LrATnAPxBV))
3991;2813401018;San Sebastián de los Reyes;elnvFjhdUBXr@PhB^j@LpAVvA^bAPb@????DMj@ADSn@ADa@~@Qb@Q\ABQVIJMPKNMNMNQPYX_@\CBMFA@A@??A@A@A?[Uq@i@gDiCPS?O@CDGBGBGGIBgFJmARQ;((elnvFjhdUBXr@PhB^j@LpAVvA^bAPb@????DMj@ADSn@ADa@~@Qb@Q\ABQVIJMPKNMNMNQPYX_@\CBMFA@A@??A@A@A?[Uq@i@gDiCPS?O@CDGBGBGGIBgFJmARQ));((elnvFjhdUBXr%40PhB%5Ej%40LpAVvA%5EbAPb%40%3F%3F%3F%3FDMj%40ADSn%40ADa%40~%40Qb%40Q%5CABQVIJMPKNMNMNQPYX_%40%5CCBMFA%40A%40%3F%3FA%40A%40A%3F%5BUq%40i%40gDiCPS%3FO%40CDGBGBGGIBgFJmARQ))
3992;2813401019;San Sebastián de los Reyes;ohnvF|`dUxAR{@|@y@|@CBCD_A~@QRSPKlACfFFHCFCFEFAB?NQR]SaAm@w@e@BqCIw@DqBBw@GuAEuAKK?WA??ECCEBAAIBCC[LUBi@iDi@eDv@Wr@nDl@xCPKvIjA;((ohnvF|`dUxAR{@|@y@|@CBCD_A~@QRSPKlACfFFHCFCFEFAB?NQR]SaAm@w@e@BqCIw@DqBBw@GuAEuAKK?WA??ECCEBAAIBCC[LUBi@iDi@eDv@Wr@nDl@xCPKvIjA));((ohnvF%7C%60dUxAR%7B%40%7C%40y%40%7C%40CBCD_A~%40QRSPKlACfFFHCFCFEFAB%3FNQR%5DSaAm%40w%40e%40BqCIw%40DqBBw%40GuAEuAKK%3FWA%3F%3FECCEBAAIBCC%5BLUBi%40iDi%40eDv%40Wr%40nDl%40xCPKvIjA))
3993;2813401020;San Sebastián de los Reyes;gxnvFlndU?mA@WFoBDmBBiCr@CTCZMBBHC@@DCBB?D@??VJJDtAFtACv@EpBHv@CpCKv@_@QA?a@KaB_@DaB;((gxnvFlndU?mA@WFoBDmBBiCr@CTCZMBBHC@@DCBB?D@??VJJDtAFtACv@EpBHv@CpCKv@_@QA?a@KaB_@DaB));((gxnvFlndU%3FmA%40WFoBDmBBiCr%40CTCZMBBHC%40%40DCBB%3FD%40%3F%3FVJJDtAFtACv%40EpBHv%40CpCKv%40_%40QA%3Fa%40KaB_%40DaB))
3994;2813401021;San Sebastián de los Reyes;w`ovF|adUVIb@MnAQF?~@ICkDEuCx@[h@dDh@hDs@BChCElBk@E]Ay@Du@E{@Aa@CAkD;((w`ovF|adUVIb@MnAQF?~@ICkDEuCx@[h@dDh@hDs@BChCElBk@E]Ay@Du@E{@Aa@CAkD));((w%60ovF%7CadUVIb%40MnAQF%3F~%40ICkDEuCx%40%5Bh%40dDh%40hDs%40BChCElBk%40E%5DAy%40Du%40E%7B%40Aa%40CAkD))
